epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,5170.05,0.51529,0.37434,1.03811,0.6464,0.65595,0.71037,0.57552,0.79416,0.67283,1.37624,0.006139,0.006139,0.006139
119,5213.85,0.51737,0.37968,1.03426,0.64335,0.65157,0.70734,0.57545,0.79217,0.67433,1.37275,0.006106,0.006106,0.006106
120,5257.61,0.51825,0.37786,1.03447,0.64634,0.65866,0.70951,0.57556,0.78975,0.67197,1.37061,0.006073,0.006073,0.006073
121,5301.36,0.51838,0.39479,1.0367,0.63366,0.69457,0.70996,0.57505,0.79113,0.6696,1.37402,0.00604,0.00604,0.00604
122,5345.07,0.51615,0.37549,1.036,0.6498,0.68929,0.71386,0.57754,0.7922,0.66587,1.37536,0.006007,0.006007,0.006007
123,5388.67,0.5175,0.37344,1.03099,0.63797,0.69369,0.71484,0.57936,0.79359,0.66546,1.37724,0.005974,0.005974,0.005974
124,5432.49,0.5166,0.38152,1.03087,0.63577,0.69435,0.71214,0.57736,0.79212,0.6655,1.37399,0.005941,0.005941,0.005941
125,5476.01,0.51448,0.37067,1.02909,0.64164,0.69094,0.7131,0.57848,0.79278,0.66385,1.37495,0.005908,0.005908,0.005908
126,5519.86,0.51411,0.37679,1.03417,0.64105,0.69404,0.71359,0.57768,0.78992,0.6654,1.37077,0.005875,0.005875,0.005875
127,5563.6,0.51205,0.37855,1.02884,0.63358,0.68457,0.71293,0.57781,0.79076,0.66495,1.37351,0.005842,0.005842,0.005842
128,5607.5,0.50668,0.36373,1.03178,0.63625,0.68347,0.71215,0.57844,0.79106,0.66231,1.37345,0.005809,0.005809,0.005809
129,5651.29,0.50825,0.36381,1.02923,0.63441,0.6786,0.71051,0.57725,0.79134,0.66979,1.37362,0.005776,0.005776,0.005776
130,5695.07,0.51669,0.37022,1.03389,0.6335,0.67907,0.70691,0.57701,0.79015,0.67744,1.37385,0.005743,0.005743,0.005743
131,5738.77,0.50756,0.3605,1.02829,0.63664,0.68206,0.70488,0.57591,0.79049,0.67899,1.37386,0.00571,0.00571,0.00571
132,5782.46,0.5004,0.36173,1.02722,0.63593,0.68371,0.70482,0.57593,0.7914,0.68171,1.37456,0.005677,0.005677,0.005677
133,5825.9,0.50519,0.36481,1.02653,0.63359,0.68447,0.70414,0.57582,0.79106,0.68277,1.37375,0.005644,0.005644,0.005644
134,5869.37,0.50344,0.35989,1.02623,0.62699,0.6848,0.70469,0.5763,0.79014,0.68294,1.37294,0.005611,0.005611,0.005611
135,5912.91,0.49875,0.35819,1.02502,0.63234,0.68447,0.7046,0.57661,0.79196,0.68239,1.37485,0.005578,0.005578,0.005578
136,5956.37,0.49947,0.35708,1.02322,0.63476,0.68395,0.70368,0.57584,0.79075,0.68395,1.375,0.005545,0.005545,0.005545
137,5999.81,0.50311,0.36283,1.02564,0.63632,0.68457,0.70378,0.57475,0.79076,0.68598,1.37495,0.005512,0.005512,0.005512
138,6043.5,0.5053,0.36454,1.02677,0.64114,0.68289,0.70385,0.57654,0.79053,0.68487,1.37491,0.005479,0.005479,0.005479
139,6087.44,0.50491,0.3616,1.02766,0.64482,0.68837,0.70369,0.57517,0.79307,0.68381,1.37713,0.005446,0.005446,0.005446
140,6131.28,0.50216,0.36235,1.02915,0.64495,0.68258,0.70329,0.5768,0.7926,0.68507,1.37704,0.005413,0.005413,0.005413
141,6174.99,0.49888,0.3562,1.02343,0.63539,0.68855,0.70243,0.57456,0.79051,0.68367,1.37607,0.00538,0.00538,0.00538
142,6218.85,0.49654,0.35842,1.02104,0.63614,0.68984,0.7023,0.57566,0.79166,0.68188,1.37747,0.005347,0.005347,0.005347
143,6262.61,0.49912,0.35665,1.02314,0.63797,0.69081,0.70221,0.57609,0.78996,0.68116,1.37567,0.005314,0.005314,0.005314
144,6306.59,0.4968,0.35255,1.02441,0.63906,0.68994,0.70069,0.57459,0.79124,0.68082,1.37713,0.005281,0.005281,0.005281
145,6350.13,0.49691,0.36198,1.0273,0.63854,0.69035,0.70015,0.57545,0.79109,0.67935,1.37738,0.005248,0.005248,0.005248
146,6393.73,0.49598,0.35167,1.02025,0.63704,0.68437,0.69987,0.57644,0.79186,0.68079,1.37759,0.005215,0.005215,0.005215
147,6437.21,0.4975,0.35684,1.02949,0.63591,0.67853,0.69923,0.57507,0.79248,0.68157,1.37814,0.005182,0.005182,0.005182
148,6480.93,0.49121,0.35376,1.0215,0.63372,0.67711,0.69711,0.57423,0.7922,0.68322,1.37791,0.005149,0.005149,0.005149
149,6524.46,0.49044,0.35558,1.02047,0.63161,0.67527,0.6959,0.5724,0.79259,0.68611,1.37893,0.005116,0.005116,0.005116
150,6568.07,0.49088,0.35672,1.02217,0.62969,0.69157,0.69679,0.57108,0.79289,0.68644,1.38036,0.005083,0.005083,0.005083
151,6611.97,0.48404,0.34882,1.02073,0.63039,0.69046,0.69706,0.57026,0.79272,0.68446,1.3808,0.00505,0.00505,0.00505
152,6655.61,0.4911,0.35219,1.0193,0.62934,0.69186,0.69716,0.57069,0.7925,0.68321,1.38105,0.005017,0.005017,0.005017
153,6699.35,0.48851,0.35195,1.02117,0.62175,0.69242,0.69703,0.56978,0.79336,0.68582,1.38277,0.004984,0.004984,0.004984
154,6743.04,0.48889,0.39304,1.01978,0.62193,0.69285,0.69664,0.57087,0.79386,0.68711,1.38348,0.004951,0.004951,0.004951
155,6786.94,0.48341,0.34505,1.01523,0.62127,0.69327,0.69656,0.57033,0.79433,0.68827,1.38401,0.004918,0.004918,0.004918
156,6830.45,0.48658,0.3517,1.01763,0.62005,0.69299,0.69713,0.57184,0.79505,0.68781,1.38509,0.004885,0.004885,0.004885
157,6874.19,0.48884,0.34994,1.02025,0.62184,0.69251,0.69723,0.57076,0.79509,0.68801,1.38559,0.004852,0.004852,0.004852
158,6917.78,0.48677,0.34769,1.01745,0.62584,0.69166,0.69698,0.57054,0.79494,0.68631,1.38556,0.004819,0.004819,0.004819
159,6961.5,0.48069,0.34364,1.01675,0.62527,0.69216,0.69696,0.57123,0.79536,0.68368,1.38596,0.004786,0.004786,0.004786
160,7005.07,0.47939,0.34179,1.01488,0.62619,0.69241,0.69662,0.5706,0.79508,0.68402,1.38651,0.004753,0.004753,0.004753
161,7048.51,0.47829,0.34017,1.01433,0.61864,0.66848,0.69685,0.57079,0.79517,0.681,1.38672,0.00472,0.00472,0.00472
162,7091.92,0.48374,0.34068,1.01678,0.61704,0.67312,0.69642,0.57056,0.79581,0.68167,1.38796,0.004687,0.004687,0.004687
163,7135.7,0.48012,0.33775,1.015,0.61819,0.66839,0.69644,0.57069,0.79602,0.68025,1.38863,0.004654,0.004654,0.004654
164,7179.25,0.47645,0.33821,1.00929,0.61931,0.66812,0.69675,0.57164,0.79561,0.67913,1.38772,0.004621,0.004621,0.004621
165,7222.96,0.4759,0.3379,1.01318,0.61843,0.66875,0.69667,0.5712,0.7958,0.67902,1.38831,0.004588,0.004588,0.004588
166,7266.62,0.48465,0.3418,1.01491,0.61906,0.66878,0.69683,0.5716,0.79646,0.67845,1.38939,0.004555,0.004555,0.004555
167,7310.46,0.47318,0.331,1.00516,0.61623,0.66875,0.69662,0.57183,0.79627,0.67792,1.38869,0.004522,0.004522,0.004522
168,7354.13,0.47081,0.33448,1.00774,0.61714,0.66875,0.69678,0.57193,0.79609,0.675,1.38862,0.004489,0.004489,0.004489
169,7397.94,0.46675,0.33701,1.00807,0.64056,0.65946,0.69735,0.57154,0.79591,0.67285,1.38845,0.004456,0.004456,0.004456
